chunk_id,parent_document_id,file_name,doc_type,page_number,source_path
doc_00010_chunk_002,doc_00010,NIST.CSWP.29.pdf,pdf,8.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00010_chunk_003,doc_00010,NIST.CSWP.29.pdf,pdf,8.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00010_chunk_004,doc_00010,NIST.CSWP.29.pdf,pdf,8.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00011_chunk_000,doc_00011,NIST.CSWP.29.pdf,pdf,9.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00011_chunk_001,doc_00011,NIST.CSWP.29.pdf,pdf,9.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00011_chunk_002,doc_00011,NIST.CSWP.29.pdf,pdf,9.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00012_chunk_000,doc_00012,NIST.CSWP.29.pdf,pdf,10.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00012_chunk_001,doc_00012,NIST.CSWP.29.pdf,pdf,10.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00012_chunk_002,doc_00012,NIST.CSWP.29.pdf,pdf,10.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00013_chunk_000,doc_00013,NIST.CSWP.29.pdf,pdf,11.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00013_chunk_001,doc_00013,NIST.CSWP.29.pdf,pdf,11.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00013_chunk_002,doc_00013,NIST.CSWP.29.pdf,pdf,11.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00013_chunk_003,doc_00013,NIST.CSWP.29.pdf,pdf,11.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00013_chunk_004,doc_00013,NIST.CSWP.29.pdf,pdf,11.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00014_chunk_000,doc_00014,NIST.CSWP.29.pdf,pdf,12.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00014_chunk_001,doc_00014,NIST.CSWP.29.pdf,pdf,12.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00014_chunk_002,doc_00014,NIST.CSWP.29.pdf,pdf,12.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
